"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1866" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 75 0.0704676151511088 0.0704842465140827
"1867" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 76 0.0704676151511088 0.070471759465179
"1868" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 77 0.0704676151511088 0.0704567178656547
"1869" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 78 0.0704676151511088 0.0704554164431891
"1870" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 79 0.0704676151511088 0.0704702589007689
"1871" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 80 0.0704676151511088 0.0704551696156441
"1872" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 81 0.0704676151511088 0.0704676611400831
"1873" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 82 0.0704676151511088 0.0704779813876005
"1874" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 83 0.0704676151511088 0.0704516324578023
"1875" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 84 0.0704676151511088 0.0704687509012642
"1876" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 85 0.0704676151511088 0.070469873843676
"1877" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 86 0.0704676151511088 0.0704642886012104
"1878" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 87 0.0704676151511088 0.0704756443062499
"1879" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 88 0.0704676151511088 0.0704688260309132
"1880" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 89 0.0704676151511088 0.0704673976434174
"1881" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 90 0.0704676151511088 0.0704688338393254
"1882" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 91 0.0704676151511088 0.0704583604395451
"1883" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 92 0.0704676151511088 0.0704634508760594
"1884" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 93 0.0704676151511088 0.0704674053061977
"1885" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 94 0.0704676151511088 0.0704582734807661
"1886" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 95 0.0704676151511088 0.0704737265337474
"1887" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 96 0.0704676151511088 0.0704558257022106
"1888" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 97 0.0704676151511088 0.0704583562188953
"1889" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 98 0.0704676151511088 0.0704595379250698
"1890" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 99 0.0704676151511088 0.0704505039682764
"1891" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 100 0.0704676151511088 0.0704695113544709
"1892" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 101 0.0704676151511088 0.0704472425232639
"1893" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 102 0.0704676151511088 0.0704600556368716
"1894" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 103 0.0704676151511088 0.0704816019634192
"1895" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 104 0.0704676151511088 0.0704735914756451
"1896" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 105 0.0704676151511088 0.0704455187775812
"1897" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 106 0.0704676151511088 0.0704702286647732
"1898" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 107 0.0704676151511088 0.0704807642450986
